% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7934 +3.803112650e+03 +3.803112650e+03 +3.839012650e+03 +3.839012650e+03 +1.0614e+00 +3.4775e+00 +3.2882e+00 +2.6984e+00 -4.9140e+00 -4.2972e+00 +1.1362e+00 -4.0838e+00 +5.0724e-01 -3.3375e+00 -3.1496e+00 -1.6056e+00 -1.5863e+00 -4.0097e+00 +5.8168e-01 -4.5560e+00 +1.3172e+00 +4.5642e+00 -2.4676e+00 -3.0974e+00
8768 +2.328937899e+03 +2.328937899e+03 +2.364837899e+03 +2.364837899e+03 +2.0083e+00 +2.6892e+00 +3.9249e+00 +3.3664e+00 -4.9048e+00 -3.3961e+00 -1.3720e+00 -4.1078e+00 -1.1660e+00 -3.8044e+00 -3.0337e+00 -1.9657e+00 -9.2604e-01 -3.0687e+00 +2.6713e+00 -3.7519e+00 +1.4550e+00 +4.1669e+00 -1.7476e+00 -2.0174e+00
9501 +1.115432741e+03 +1.115432741e+03 +1.151332741e+03 +1.151332741e+03 +1.9933e+00 +2.3549e+00 +3.9533e+00 +4.2668e+00 -3.0519e+00 -4.6677e+00 -2.7175e+00 -2.6986e+00 -1.0744e+00 -3.2666e+00 -1.4004e+00 +1.1852e-01 -4.5255e-01 -8.9195e-01 +1.5073e+00 -3.9045e+00 -2.7180e-02 +4.1872e+00 -2.1423e+00 -2.4712e+00
10074 +3.554286567e+02 +3.554286567e+02 +3.913286567e+02 +3.913286567e+02 +1.0249e+00 +2.8213e+00 +3.4230e+00 +2.6984e+00 -4.9140e+00 -4.8141e+00 +1.1362e+00 -4.9181e+00 +5.0724e-01 -3.8116e+00 -2.2217e+00 -1.6056e+00 -1.5863e+00 -4.0097e+00 +1.0070e+00 -4.5560e+00 +1.3172e+00 +4.8489e+00 -2.4676e+00 -2.3312e+00
10289 +4.533055057e+01 +4.533055057e+01 +8.123055057e+01 +8.123055057e+01 +1.9764e+00 +3.3550e+00 +3.3628e+00 +3.3921e+00 -3.1093e+00 -4.4770e+00 -9.4669e-01 -2.3361e+00 -9.5212e-01 -3.6689e+00 -1.3546e+00 +1.1852e-01 -3.6022e-01 -6.8435e-01 +1.6996e+00 -4.3046e+00 +5.9870e-01 +4.2114e+00 -2.1423e+00 -2.7811e+00
15606 +3.930624012e+01 +3.930624012e+01 +7.520624012e+01 +7.520624012e+01 +2.2207e+00 +2.7908e+00 +3.3628e+00 +3.6973e+00 -3.1302e+00 -4.4770e+00 -9.4669e-01 -3.3248e+00 -9.5212e-01 -3.6262e+00 -1.3546e+00 -1.1160e-01 -3.6022e-01 -6.8435e-01 +1.4525e+00 -4.3046e+00 +8.2812e-01 +4.2539e+00 -2.1423e+00 -2.7811e+00
25958 +2.502898094e+01 +2.502898094e+01 +6.092898094e+01 +6.092898094e+01 +1.9764e+00 +2.9975e+00 +3.3628e+00 +3.4403e+00 -2.2325e+00 -4.4770e+00 -2.1411e+00 -2.3361e+00 -9.5212e-01 -3.6689e+00 -1.3430e+00 +1.1852e-01 -1.2486e+00 -6.8435e-01 +1.3405e+00 -4.3046e+00 +6.7090e-01 +4.2130e+00 -2.1423e+00 -2.7811e+00
36822 +1.516395922e+01 +1.516395922e+01 +5.106395922e+01 +5.106395922e+01 +2.2803e+00 +2.0753e+00 +3.3586e+00 +3.3929e+00 -2.0198e+00 -4.0682e+00 -2.1902e+00 -2.4019e+00 -1.1963e+00 -3.0480e+00 -1.3859e+00 +8.0538e-02 -5.3590e-01 -6.8425e-01 +1.0082e+00 -4.2154e+00 +5.1276e-01 +4.2153e+00 -2.1423e+00 -3.3111e+00
51315 +9.698358707e+00 +9.698358707e+00 +4.559835871e+01 +4.559835871e+01 +2.6278e+00 +1.9551e+00 +3.3280e+00 +3.3629e+00 -1.8918e+00 -3.9388e+00 -2.2063e+00 -2.3624e+00 -1.9356e+00 -2.9669e+00 -1.4480e+00 +2.2209e-01 -7.5164e-01 -6.7978e-01 +9.5769e-01 -3.9711e+00 +7.1396e-01 +3.8978e+00 -1.6871e+00 -2.9923e+00
60092 +6.222478678e+00 +6.222478678e+00 +4.212247868e+01 +4.212247868e+01 +2.3080e+00 +1.7021e+00 +3.2619e+00 +3.4684e+00 -1.6569e+00 -3.2404e+00 -2.4250e+00 -2.3239e+00 -2.2578e+00 -3.2886e+00 -1.4243e+00 +5.2637e-01 -5.4697e-01 -4.2257e-01 +9.5361e-01 -4.0903e+00 +7.7485e-01 +3.4952e+00 -1.5651e+00 -3.4244e+00
70957 +3.775955979e+00 +3.775955979e+00 +3.967595598e+01 +3.967595598e+01 +2.7380e+00 +1.5506e+00 +3.0782e+00 +3.4289e+00 -1.6402e+00 -3.6460e+00 -2.4095e+00 -2.3079e+00 -2.3871e+00 -3.2146e+00 -1.4319e+00 +8.4685e-01 -6.0846e-01 -4.6598e-01 +1.0941e+00 -3.8418e+00 +6.0058e-01 +3.4962e+00 -1.3811e+00 -3.3033e+00
83433 +2.454930368e+00 +2.454930368e+00 +3.835493037e+01 +3.835493037e+01 +2.6878e+00 +1.3116e+00 +2.7439e+00 +3.4227e+00 -1.5987e+00 -3.5497e+00 -2.4214e+00 -2.3173e+00 -2.4501e+00 -3.1356e+00 -1.6989e+00 +1.0648e+00 -6.5726e-01 -4.6294e-01 +1.4057e+00 -3.8796e+00 +6.0716e-01 +3.3508e+00 -1.1053e+00 -3.2878e+00
89700 +1.560618209e+00 +1.560618209e+00 +3.746061821e+01 +3.746061821e+01 +2.7277e+00 +1.3766e+00 +2.8208e+00 +3.5489e+00 -1.6194e+00 -3.3969e+00 -2.4801e+00 -2.3686e+00 -2.7304e+00 -3.1134e+00 -1.6382e+00 +1.1179e+00 -5.7187e-01 -4.5883e-01 +1.4291e+00 -3.8744e+00 +6.2215e-01 +3.2624e+00 -1.1354e+00 -3.2700e+00
101844 +9.642010415e-01 +9.642010415e-01 +3.686420104e+01 +3.686420104e+01 +2.6434e+00 +1.2305e+00 +2.7892e+00 +3.5088e+00 -1.4818e+00 -3.2988e+00 -2.5013e+00 -2.2853e+00 -2.8055e+00 -3.0033e+00 -1.5561e+00 +1.1189e+00 -5.6386e-01 -4.5640e-01 +1.4467e+00 -3.8717e+00 +6.2360e-01 +3.1837e+00 -1.0683e+00 -3.2573e+00
