gen, min, avg, max, std, exp_number
218, -91.4893, -56.3669, 21.9465, 16.9995, 1
219, -91.4893, -56.6442, 21.854, 16.8046, 1
220, -91.4893, -56.8884, 40.7824, 16.398, 1
221, -91.4893, -56.9092, 27.1424, 16.244, 1
222, -91.4893, -56.953, 24.6397, 16.6725, 1
223, -91.4893, -56.6895, 27.7342, 16.6107, 1
224, -91.4893, -56.3806, 36.9465, 16.4547, 1
225, -91.4893, -56.1077, 18.1409, 16.9208, 1
226, -91.4893, -56.2452, 35.5607, 17.1188, 1
227, -91.4893, -56.0866, 35.2134, 17.1457, 1
228, -91.4893, -56.2993, 46.2623, 17.2624, 1
229, -91.4893, -56.3126, 42.9304, 17.0947, 1
230, -91.4893, -56.0386, 19.6789, 16.681, 1
231, -91.4893, -56.1109, 23.5816, 16.8521, 1
232, -91.4893, -56.2268, 35.3923, 17.0243, 1
233, -91.4893, -55.841, 40.6037, 17.2059, 1
234, -91.4893, -56.0612, 34.3142, 17.3594, 1
235, -91.4893, -55.8746, 36.4025, 16.8757, 1
236, -91.4893, -55.6751, 26.2137, 16.8975, 1
237, -91.4893, -55.4567, 26.3647, 17.4559, 1
238, -91.4893, -55.3156, 38.8347, 17.3004, 1
239, -91.4893, -55.4523, 58.0569, 17.0485, 1
240, -91.4893, -55.3926, 17.4902, 16.6985, 1
241, -91.4893, -55.3923, 48.3542, 16.9598, 1
242, -91.4893, -55.5315, 23.8307, 16.7188, 1
243, -91.4893, -55.3871, 27.843, 16.949, 1
244, -91.4893, -55.2232, 15.3953, 17.0428, 1
245, -91.4893, -55.0889, 30.5324, 17.3752, 1
246, -91.4893, -55.3103, 53.6327, 17.2905, 1
247, -91.4893, -55.5571, 34.885, 16.5522, 1
248, -91.4893, -55.1461, 47.3604, 17.3276, 1
249, -91.4893, -55.3463, 44.7903, 17.3366, 1
0, -91.1947, -70.1797, -37.6195, 8.17577, 2
1, -91.1947, -69.9724, -34.1186, 8.26249, 2
2, -91.1947, -69.9732, -32.5113, 8.47651, 2
3, -91.1947, -69.9413, -21.6985, 8.63735, 2
4, -91.1947, -69.8855, -26.696, 8.59123, 2
5, -91.1947, -69.6924, -24.8134, 9.03638, 2
6, -91.1947, -69.557, -30.833, 8.94384, 2
7, -91.1947, -69.4858, -30.8002, 8.88277, 2
8, -91.1947, -69.4334, -35.0509, 8.78945, 2
9, -91.1947, -69.3673, -13.9423, 9.1356, 2
10, -91.1947, -69.4381, -17.5826, 9.07355, 2
11, -91.1947, -69.3525, -25.5816, 9.00923, 2
12, -91.1947, -69.3038, -25.1681, 9.06673, 2
13, -91.1947, -69.3216, -29.3116, 8.81813, 2
14, -91.1947, -69.129, -22.5207, 9.04855, 2
15, -91.1947, -69.1943, -27.428, 9.094, 2
16, -91.1947, -69.1476, -19.123, 9.14834, 2
17, -91.1947, -69.0213, -23.7075, 9.45367, 2
18, -91.1947, -68.9213, -16.7691, 9.62711, 2
19, -91.1947, -69.013, -12.307, 9.61139, 2
20, -91.1947, -69.1387, -26.0378, 9.23787, 2
21, -91.1947, -69.2645, -19.6891, 9.2119, 2
22, -91.1947, -68.9256, -19.0139, 9.33933, 2
23, -91.1947, -68.828, -25.0482, 9.37829, 2
24, -91.1947, -68.8945, -27.329, 9.09252, 2
25, -91.1947, -68.6367, -21.8874, 9.32958, 2
26, -91.1947, -68.5926, -21.5343, 9.47997, 2
27, -91.1947, -68.5861, -16.2121, 9.45618, 2
28, -91.1947, -68.5281, -19.7169, 9.5926, 2
29, -91.1947, -68.2745, -19.7169, 9.86313, 2
30, -91.1947, -68.2073, -17.3085, 9.81508, 2
31, -91.1947, -68.1342, -17.3953, 9.91653, 2
32, -91.1947, -68.1416, -13.9951, 9.92981, 2
33, -91.1947, -68.0096, -17.5476, 9.81997, 2
34, -91.1947, -68.1301, -21.4371, 9.80893, 2
35, -91.1947, -68.0718, -16.1382, 10.1663, 2
36, -91.1947, -68.0033, -15.3688, 10.1406, 2
37, -91.1947, -67.9209, -15.3688, 9.73918, 2
38, -91.1947, -67.9946, -14.188, 9.79889, 2
39, -91.1947, -67.8758, -22.0667, 10.0258, 2
40, -91.1947, -67.8912, -17.1883, 9.70525, 2
41, -91.1947, -67.8335, -23.2792, 9.54411, 2
42, -92.2721, -67.6641, -22.3687, 9.77818, 2
43, -92.2721, -67.4524, -22.6394, 10.0767, 2
44, -92.2721, -67.3895, -24.1567, 10.3406, 2
45, -92.2721, -67.3305, -18.6826, 10.256, 2
46, -92.2721, -67.4549, -18.367, 10.3631, 2
47, -92.2721, -67.1739, -13.1345, 10.2003, 2
48, -92.2721, -67.3712, -21.8355, 10.0135, 2
49, -92.2721, -67.2895, -21.367, 10.0204, 2
50, -92.2721, -67.2375, -20.3834, 10.0145, 2
51, -92.2721, -66.8162, -15.5694, 10.2937, 2
52, -92.2721, -66.7976, -18.5619, 10.4346, 2
53, -92.2721, -66.7455, -18.5619, 10.6813, 2
54, -92.2721, -66.6509, -20.0604, 10.6465, 2
55, -92.2721, -66.6588, -13.7161, 10.5584, 2
56, -92.2721, -66.6598, 3.34348, 10.6285, 2
57, -92.2721, -66.6769, -12.6805, 10.8663, 2
58, -92.2721, -66.6098, -12.2603, 10.9319, 2
59, -92.2721, -66.4185, 0.0723646, 11.3192, 2
60, -92.2721, -66.4823, 6.86952, 10.9506, 2
61, -92.2721, -66.5006, -11.8692, 10.9383, 2
62, -92.2721, -66.5042, -14.268, 10.9887, 2
63, -92.2721, -66.4563, -15.0371, 11.0489, 2
64, -92.2721, -66.5969, -15.9551, 10.7983, 2
65, -92.2721, -66.5879, -14.4425, 10.7427, 2
66, -92.2721, -66.4735, -18.0243, 10.9025, 2
67, -92.2721, -66.3074, 0.763596, 11.0779, 2
68, -92.2721, -66.0952, 0.763596, 11.2022, 2
69, -92.2721, -66.1464, -18.5324, 10.9298, 2
70, -92.2721, -66.0318, -12.4672, 11.1014, 2
71, -92.2721, -66.0386, -9.3553, 11.0108, 2
72, -92.4307, -65.9831, -12.4855, 11.2414, 2
73, -92.4307, -65.7559, -3.98, 11.3611, 2
74, -92.4307, -65.7631, -3.98, 11.1809, 2
75, -92.4307, -65.6557, -7.64048, 11.5311, 2
76, -92.4307, -65.4955, -10.4221, 11.5122, 2
77, -92.4307, -65.4335, -17.6399, 11.1922, 2
78, -92.4307, -65.2705, -6.30191, 11.3734, 2
79, -92.4307, -65.331, -7.25533, 11.1647, 2
80, -92.4307, -65.1054, -11.265, 11.2375, 2
81, -92.4307, -65.1846, -9.08686, 11.2074, 2
82, -92.4307, -65.2114, -10.2481, 11.2209, 2
83, -92.4307, -65.2169, -16.2362, 11.0851, 2
84, -92.4307, -65.0165, -6.60842, 11.2365, 2
85, -92.4307, -64.9791, -6.60842, 11.5028, 2
86, -92.4307, -65.0461, -9.77534, 11.532, 2
87, -92.4307, -65.0512, -16.7525, 11.3518, 2
88, -92.4307, -64.6806, -12.14, 11.8947, 2
89, -92.4307, -64.7838, -7.1329, 11.7226, 2
90, -92.4307, -64.895, -9.61651, 11.6373, 2
91, -92.4307, -64.8194, -11.6618, 11.712, 2
92, -92.4307, -64.7383, -7.02892, 11.9969, 2
93, -92.4307, -64.5155, -6.83701, 12.1744, 2
94, -92.4307, -64.4715, -8.74479, 11.8979, 2
95, -92.4307, -64.4076, -2.90788, 12.1569, 2
96, -92.4307, -64.5532, -13.8124, 11.7186, 2
97, -92.4307, -64.2129, -10.0587, 12.0808, 2
98, -92.4307, -64.0905, -4.49895, 12.2912, 2
99, -92.4307, -63.9878, 2.80963, 12.503, 2
100, -92.4307, -64.2272, -3.4074, 12.1795, 2
101, -92.4307, -64.2811, 4.92469, 12.4687, 2
102, -92.4307, -64.2525, 4.24849, 12.5462, 2
103, -92.4307, -64.1468, -13.4044, 12.4083, 2
104, -92.4307, -64.0905, -6.37712, 12.4185, 2
105, -92.4307, -64.1374, -6.16513, 12.2514, 2
106, -92.4307, -63.9927, -4.14211, 12.5172, 2
107, -92.4307, -63.7653, -2.5523, 12.7031, 2
108, -92.4307, -63.4904, 1.49539, 12.967, 2
109, -92.4307, -63.6386, -11.8935, 12.6244, 2
110, -92.4307, -63.4907, -1.56707, 12.7931, 2
111, -92.4307, -63.4568, 7.07725, 12.5918, 2
112, -92.4307, -63.6813, -7.96768, 12.2278, 2
113, -92.4307, -63.6004, 1.19716, 12.2805, 2
114, -92.4307, -63.5126, 1.02612, 12.2791, 2
115, -92.4307, -63.497, 3.22977, 12.4782, 2
116, -92.4307, -63.3649, 7.33238, 12.5815, 2
117, -92.4307, -63.3943, -7.27844, 12.4516, 2
118, -92.4307, -63.3397, -6.2752, 12.3479, 2
119, -92.4307, -63.3596, 13.6569, 12.6724, 2
120, -92.4307, -63.2668, -5.51331, 12.7288, 2
121, -92.4307, -62.9216, -6.06683, 13.1078, 2
122, -92.4307, -63.0337, 10.9473, 12.9867, 2
123, -92.4307, -63.0166, 4.52298, 12.9221, 2
124, -92.4307, -62.7782, 0.127862, 12.7538, 2
125, -92.4307, -62.8838, -0.470384, 12.6332, 2
126, -92.4307, -62.8699, -1.25626, 12.767, 2
127, -92.4307, -62.5182, 0.00666169, 13.2513, 2
128, -92.4307, -62.3253, 3.8308, 13.5444, 2
129, -92.4307, -62.1984, 22.8873, 13.6942, 2
130, -92.4307, -62.3038, 12.2233, 13.4587, 2
131, -92.4307, -62.1168, 2.439, 13.7265, 2
132, -92.4307, -62.1374, 8.39958, 13.5994, 2
133, -92.4307, -61.9782, 3.64267, 13.7994, 2
134, -92.4307, -62.2197, 5.87424, 13.4672, 2
135, -92.4307, -62.3143, -0.345011, 13.2284, 2
136, -92.4307, -62.2006, 7.01792, 13.6362, 2
137, -92.4307, -62.2177, 6.47843, 13.6601, 2
138, -92.4307, -62.1972, 13.2954, 14.0826, 2
139, -92.4307, -62.1901, 21.8626, 13.8513, 2
140, -92.4307, -61.9918, 12.6697, 13.6211, 2
141, -92.4307, -61.9199, 11.7826, 13.571, 2
142, -92.4307, -61.8504, 8.84758, 13.673, 2
143, -92.4307, -61.9624, 6.4771, 13.3197, 2
144, -92.4307, -61.9789, 2.03976, 13.24, 2
145, -92.4307, -61.8559, 11.5841, 13.5683, 2
146, -92.4307, -61.9248, 3.15213, 13.4692, 2
147, -92.4307, -61.5716, -0.26368, 13.6231, 2
148, -92.4307, -61.2639, 1.36116, 14.066, 2
149, -92.4307, -61.1699, 3.81934, 14.1343, 2
