Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
52,52,1,1.489047,0,1.7976931348623157E308,-1,0.0,0.0,1,1.489047,5,0.0,SAT,,0.061,
53,53,1,22.896786,0,1.7976931348623157E308,-1,0.0,0.0,1,22.896786,5,0.0,SAT,,0.064,
54,54,1,1.67383,0,1.7976931348623157E308,-1,0.0,0.0,1,1.67383,5,0.0,SAT,,0.06,
55,55,1,1.453567,0,1.7976931348623157E308,-1,0.0,0.0,1,1.453567,6,0.0,SAT,,0.063,
56,56,1,13.704115,0,1.7976931348623157E308,-1,0.0,0.0,1,13.704115,6,0.0,SAT,,0.057,
57,57,1,2.068231,0,1.7976931348623157E308,-1,0.0,0.0,1,2.068231,6,0.0,SAT,,0.064,
58,58,1,19.079303,0,1.7976931348623157E308,-1,0.0,0.0,1,19.079303,6,0.0,SAT,,0.064,
59,59,1,2.023747,0,1.7976931348623157E308,-1,0.0,0.0,1,2.023747,6,0.0,SAT,,0.056,
60,60,1,17.576481,0,1.7976931348623157E308,-1,0.0,0.0,1,17.576481,6,0.0,SAT,,0.06,
61,61,1,8.678783,0,1.7976931348623157E308,-1,0.0,0.0,1,8.678783,6,0.0,SAT,,0.062,
62,62,1,7.72747,0,1.7976931348623157E308,-1,0.0,0.0,1,7.72747,6,0.0,SAT,,0.059,
63,63,1,5.599645,0,1.7976931348623157E308,-1,0.0,0.0,1,5.599645,6,0.0,SAT,,0.06,
64,64,1,37.290003,0,1.7976931348623157E308,-1,0.0,0.0,1,37.290003,6,0.0,SAT,,0.063,
65,65,1,4.599296,0,1.7976931348623157E308,-1,0.0,0.0,1,4.599296,6,0.0,SAT,,0.065,
66,66,1,3.595696,0,1.7976931348623157E308,-1,0.0,0.0,1,3.595696,7,0.0,SAT,,0.062,
67,67,1,5.243928,0,1.7976931348623157E308,-1,0.0,0.0,1,5.243928,7,0.0,SAT,,0.064,
68,68,1,1.898665,0,1.7976931348623157E308,-1,0.0,0.0,1,1.898665,7,0.0,SAT,,0.064,
69,69,1,0.731608,0,1.7976931348623157E308,-1,0.0,0.0,1,0.731608,7,0.0,SAT,,0.061,
70,70,1,9.372211,0,1.7976931348623157E308,-1,0.0,0.0,1,9.372211,7,0.0,SAT,,0.061,
71,71,1,3.480211,0,1.7976931348623157E308,-1,0.0,0.0,1,3.480211,7,0.0,SAT,,0.06,
72,72,1,1.000134,0,1.7976931348623157E308,-1,0.0,0.0,1,1.000134,7,0.0,SAT,,0.061,
73,73,1,117.011004,0,1.7976931348623157E308,-1,0.0,0.0,1,117.011004,7,0.0,SAT,,0.056,
74,74,1,2.954018,0,1.7976931348623157E308,-1,0.0,0.0,1,2.954018,7,0.0,SAT,,0.062,
75,75,1,15.94413,0,1.7976931348623157E308,-1,0.0,0.0,1,15.94413,7,0.0,SAT,,0.065,
76,76,1,7.63371,0,1.7976931348623157E308,-1,0.0,0.0,1,7.63371,7,0.0,SAT,,0.055,
77,77,1,0.865361,0,1.7976931348623157E308,-1,0.0,0.0,1,0.865361,8,0.0,SAT,,0.061,
78,78,1,22.416128,0,1.7976931348623157E308,-1,0.0,0.0,1,22.416128,8,0.0,SAT,,0.06,
79,79,1,1.21026,0,1.7976931348623157E308,-1,0.0,0.0,1,1.21026,8,0.0,SAT,,0.06,
80,80,1,137.351484,0,1.7976931348623157E308,-1,0.0,0.0,1,137.351484,8,0.0,SAT,,0.063,
81,81,1,0.705619,0,1.7976931348623157E308,-1,0.0,0.0,1,0.705619,8,0.0,SAT,,0.063,
82,82,1,20.284793,0,1.7976931348623157E308,-1,0.0,0.0,1,20.284793,8,0.0,SAT,,0.062,
83,83,1,0.522631,0,1.7976931348623157E308,-1,0.0,0.0,1,0.522631,8,0.0,SAT,,0.065,
84,84,1,95.282317,0,1.7976931348623157E308,-1,0.0,0.0,1,95.282317,8,0.0,SAT,,0.057,
85,85,1,0.675686,0,1.7976931348623157E308,-1,0.0,0.0,1,0.675686,8,0.0,SAT,,0.056,
86,86,1,122.698334,0,1.7976931348623157E308,-1,0.0,0.0,1,122.698334,8,0.0,SAT,,0.06,
87,87,1,0.925457,0,1.7976931348623157E308,-1,0.0,0.0,1,0.925457,8,0.0,SAT,,0.061,
88,88,1,1.749895,0,1.7976931348623157E308,-1,0.0,0.0,1,1.749895,9,0.0,SAT,,0.064,
89,89,1,37.395374,0,1.7976931348623157E308,-1,0.0,0.0,1,37.395374,9,0.0,SAT,,0.063,
90,90,1,5.24558,0,1.7976931348623157E308,-1,0.0,0.0,1,5.24558,9,0.0,SAT,,0.059,
91,91,1,20.31781,0,1.7976931348623157E308,-1,0.0,0.0,1,20.31781,9,0.0,SAT,,0.063,
92,92,1,5.800629,0,1.7976931348623157E308,-1,0.0,0.0,1,5.800629,9,0.0,SAT,,0.058,
93,93,1,26.282656,0,1.7976931348623157E308,-1,0.0,0.0,1,26.282656,9,0.0,SAT,,0.061,
94,94,1,1.102514,0,1.7976931348623157E308,-1,0.0,0.0,1,1.102514,9,0.0,SAT,,0.063,
95,95,1,15.006434,0,1.7976931348623157E308,-1,0.0,0.0,1,15.006434,9,0.0,SAT,,0.06,
96,96,1,19.487321,0,1.7976931348623157E308,-1,0.0,0.0,1,19.487321,9,0.0,SAT,,0.062,
97,97,1,19.966166,0,1.7976931348623157E308,-1,0.0,0.0,1,19.966166,9,0.0,SAT,,0.065,
98,98,1,19.123918,0,1.7976931348623157E308,-1,0.0,0.0,1,19.123918,9,0.0,SAT,,0.059,
99,99,1,2.60576,0,1.7976931348623157E308,-1,0.0,0.0,1,2.60576,10,0.0,SAT,,0.058,
100,100,1,28.018475,0,1.7976931348623157E308,-1,0.0,0.0,1,28.018475,10,0.0,SAT,,0.06,
